nを切り捨てながらn2分の一にする	n //= n2
多次元データを多次元尺度構成法で濃く次元に次元削減する	sklearn.manifold.MSD(n_components=二).fit_transform(多次元データ)
三つの文字列を順にプリントする	print(value, value2, value3)
変数名をキーとして、辞書	dict(name=element)
ピーチパフ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='peachpuff')
日付時刻データからn秒分、減算する	aDatetime - datetime.timedelta(seconds=n)
折れ線グラフをダークゴールデンロッド色で描画する	plt.plot(データ列x, データ列y, color='darkgoldenrod')
データフレームのある列の値がxに等しい行を抽出する	df[df['列A'] == x]
主成分分析を行う	model = sklearn.decomposition.PCA(n_components=n)
マゼンタ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='magenta')
option: マーカーの色をオレンジにする	markerfacecolor = 'orange'
データフレームの選択したカラムを百の位で丸める	df[['列A', '列B']].round(-2)
折れ線グラフの色を耐火レンガに設定する	plt.plot(データ列x, データ列y, color='firebrick')
散布図をペルー色で描画する	plt.scatter(データ列x, データ列y, color='peru')
白いグリッド線を引く	plt.grid(color='w')
レベッカパープル色の散布図を描画する	plt.scatter(データ列x, データ列y, color='rebeccapurple')
実数の仮数	math.frexp(x)[0]
棒グラフをフクシア色で描画する	plt.bar(データ列x, データ列y, color='fuchsia')
折れ線グラフの色をマゼンタに設定する	plt.plot(データ列x, データ列y, color='magenta')
データフレームをある列によってソートして、NaNを先頭にする	df.sort_values(by='列A', na_position='first')
文字列中にひとつでも非大文字が含まれるか調べる	any(not c.isupper() for c in s)
散布図に黒いポイントマーカーを使う	plt.plot(データ列x, データ列y, marker='.', c='k')
タプルを引数として展開して表示する	print(*aTuple, sep=',')
anemptystring	''
散布図に赤い星マーカーを使う	plt.plot(データ列x, データ列y, marker='*', c='r')
JSONL形式のファイルからデータフレームを読み込む	pd.read_json(filename, orient='records', lines=True)
ホットピンク色の線グラフを描画する	plt.plot(データ列x, データ列y, color='hotpink')
棒グラフの色をフローラルホワイトにする	plt.bar(データ列x, データ列y, color='floralwhite')
option: マーカーの色をオリベドラブにする	markerfacecolor = 'olivedrab'
データフレームの選択したカラムの分散	df[['列A', '列B']].var()
棒グラフをピンク色で描画する	plt.bar(データ列x, データ列y, color='pink')
xを文字列に変換する	str(x)
横棒グラフをディムグレー色で描画する	plt.barh(データ列x, データ列y, color='dimgray')
データシリーズの値を正規表現patternでまとめてreplに置き換える	ds.replace(pattern, repl, regex=True)
ヒストグラムをアクアマリン色で描画する	plt.hist(データ列, color='aquamarine')
コレクションを使う	import collections
option: グラフの色をサドルブラウンに設定する	color = 'saddlebrown'
0から始まる無限数列	itertools.count()
両端キュー中の要素の数を数える	deq.count(element)
日付データにn日分、加算する	aDate + datetime.timedelta(days=n)
ホワイトスモーク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='whitesmoke')
データフレームのある列を配列として抽出する	df['列A'].values
option: 説明変数を事前に正規化する	normalize = True
バリーウッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='burlywood')
散布図の色をマゼンタにする	plt.scatter(データ列x, データ列y, color='magenta')
ロイヤルブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='royalblue')
ヒストグラムの色をマゼンタに設定する	plt.hist(データ列, color='magenta')
データフレームの選択したカラムの第一四分位数	df[['列A', '列B']].quantile(0.25)
option: マーカーの色をマルーンにする	markerfacecolor = 'maroon'
横棒グラフをクリムゾン色で描画する	plt.barh(データ列x, データ列y, color='crimson')
データフレームの指定したカラムの欠損値を直前の値に設定する	df['列A'].fillna(method='ffill')
行列の逆行列	np.linalg.inv(aArray)
グリッド線を赤くする	plt.grid(color='r')
横棒グラフをペルー色で描画する	plt.barh(データ列x, データ列y, color='peru')
散布図のバツマーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='x', markeredgewidth=2.5)
散布図を貝殻色で描画する	plt.scatter(データ列x, データ列y, color='seashell')
データフレームの中の列を四分位数ごとにビン分割する	pd.qcut(df[col], 4)
文字列の接頭辞から部分文字列を取り除く	s.removeprefix(sub)
横棒グラフをライトゴールドロディイエロー色で描画する	plt.barh(データ列x, データ列y, color='lightgoldenrodyellow')
option: マーカーの色をモカシンにする	markerfacecolor = 'moccasin'
numpyを使う	import numpy as np
クラスのサブクラスか調べる	issubclass(サブクラス, クラス)
文字列を右寄せにする	s.rjust(文字列幅)
グリーン色のヒストグラムを描画する	plt.hist(データ列, color='green')
ヒストグラムをレベッカパープル色で描画する	plt.hist(データ列, color='rebeccapurple')
ミントクリーム色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mintcream')
パープル色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='purple')
散布図をライトグレー色で描画する	plt.scatter(データ列x, データ列y, color='lightgrey')
散布図の色をミディアムシアグリーンにする	plt.scatter(データ列x, データ列y, color='mediumseagreen')
データフレームの二つのカラムを並べて箱ひげ図で可視化する	plt.boxplot([df['カラム'], df['カラム']])
折れ線グラフをサドルブラウン色で描画する	plt.plot(データ列x, データ列y, color='saddlebrown')
散布図をライトイエロー色で描画する	plt.scatter(データ列x, データ列y, color='lightyellow')
折れ線グラフの下三角マーカーの線幅を変更する	plt.plot(データ列x, データ列y, marker='v', markeredgewidth=2.5)
辞書をソートしてJSON形式の文字列に変換する	json.dumps(aDict, ensure_ascii=False, sort_keys=True)
耐火レンガ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='firebrick')
棒グラフをダークゴールデンロッド色で描画する	plt.bar(データ列x, データ列y, color='darkgoldenrod')
option: 箱ひげ図を水平方向にする	vert = False
散布図の色をライムグリーンにする	plt.scatter(データ列x, データ列y, color='limegreen')
集合が空か調べる	len(aSet) == 0
ブランチドアーモンド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='blanchedalmond')
横棒グラフの色をモカシンにする	plt.barh(データ列x, データ列y, color='moccasin')
棒グラフをクリムゾン色で描画する	plt.bar(データ列x, データ列y, color='crimson')
option: マーカーの色をサーモンにする	markerfacecolor = 'salmon'
データフレームの中の列を中央値でビン分割する	pd.qcut(df[col], 2)
ディムグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='dimgray')
ダーク・スラテグレー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkslategrey')
文字列が正規表現にマッチさせる	re.match(pattern, s)
散布図をパープル色で描画する	plt.scatter(データ列x, データ列y, color='purple')
散布図を淡いピンク色色で描画する	plt.scatter(データ列x, データ列y, color='lightpink')
折れ線グラフをベージュ色で描画する	plt.plot(データ列x, データ列y, color='beige')
プラム色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='plum')
option: 決定木の深さを制限する	maxdepth = n
