折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
折れ線グラフの三角印の線幅をnに指定する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
スクリプトファイルの絶対パス	os.path.abspath(__file__)
文字列の開始位置以降が部分文字列で始まる	s.startswith(sub, start)
データフレームを'A'列によってで降順に並べ直す	df.sort_values(by='A', ascending=False)
ヒストグラムを描画してその色をパールゴールデンロッドに指定する	plt.hist(データ列, color='palegoldenrod')
本日を文字列でフォーマットする	"datetime.datetime.today().strftime(""%d/%m/%y"")"
折れ線グラフに青い▽マーカーを描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='b')
今日の月数	datetime.datetime.today().month
リストの先頭	aList[0]
データフレームの列が正規表現文字列にマッチしない行を抽出する	df[not df[column].str.match(s)]
データフレームの中に文字列と文字列が含まれるか調べる	df.isin([value, value2])
データフレームを列によってソートして、インデックスを振り直す	df.sort_values(columns).reset_index(drop=True)
＜オプション＞グラフの色を青紫に設定する	color = 'violet'
折れ線グラフの色をライトサーモンに変更する	plt.plot(データ列, データ列2, color='lightsalmon')
二つの文字列をプリントする	print(value, value2)
第二引数のファイルの名前	sys.argv[1]
＜オプション＞ダークマゼンタにグラフの色をする	color = 'darkmagenta'
実数を数から減算する	x - y
折れ線グラフにダイアモンドマーカーを使う	plt.plot(データ列, データ列2, marker='D')
＜オプション＞整数型を使用する	dtype = np.int
折れ線グラフの色をペールグリーンに設定する	plt.plot(データ列, データ列2, color='palegreen')
＜オプション＞ゴールドに色を設定する	color = 'gold'
逆行列	np.linalg.inv(aArray)
＜オプション＞ブラック色を用いる	color = 'black'
文字列の中で複数行対応としてパターンにマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.MULTILINE)
ヒストグラムを描画してその色をアクアに指定する	plt.hist(データ列, color='aqua')
文字列内にひとつでも空白が含まれるか確認する	any(c.isspace() for c in s)
文字列が全て空白からなるか調べる	s.isspace()
配列と配列の黒い明るいグラフを描画する	plt.plot(xdata, ydata, linestyle='bright', color='k')
文字列が平仮名か調べる	('ぁ' <= ch <= 'ん')
＜オプション＞グラフの色をミディアムブルーにセットする	color = 'mediumblue'
ゼロ埋めした整数型の配列	np.zeros(要素数, dtype=np.int)
環境がマックか調べる	sys.platform.startswith('darwin')
nまでの偶整数列を得る	list(range(2, n, 2))
year年month月day日hour時の日付時刻をオブジェクト化する	datetime.datetime(year=year, month=month, day=day, hour=hour)
リストを下線付き化する	f'\033[4m{value}\033[0m'
表データの先頭n行	df.head(n)
散布図に黒いバツマーカーを使う	plt.plot(xdata, ydata, marker='x', c='k')
デックに要素をエンキューする	deq.appendleft(element)
線グラフを描画して色をライトコーラルに設定する	plt.plot(データ列, データ列2, color='lightcoral')
折れ線グラフの色をタンに設定する	plt.plot(データ列, データ列2, color='tan')
データフレームとデータ列を連結する	pd.concat([df, ds], axis=1)
列の値で表をグループ化して、各グループごとの件数を知る	df.groupby(column).size()
ヒストグラムを描画して、その色を紺碧にセットする	plt.hist(データ列, color='azure')
文字列を最初の部分文字列で分割したときの最初の文字列	s.partition(sub)[0]
カンマ区切りのファイルからデータフレームを読み込む	pd.read_csv(filename, sep=',')
複数の列によって昇順にデータフレームを整列して、更新する	df.sort_values(by=column, ascending=True, inplace=True)
既存のファイルを追加できるようにSJISでオープンする]	open(filepath, mode='a', encoding='shift_jis')
キーが辞書上で未定義	key not in aDict
＜オプション＞ピンク色を使う	color = 'pink'
リストと配列の黒い色差別ないグラフをプロットする	plt.plot(xdata, ydata, linestyle='colorblind', color='k')
本日が月曜日か調べる	datetime.datetime.today().weekday() == 0
小数点数の二進対数を算出する	math.log2(x)
折れ線グラフの色をバリーウッドに変更する	plt.plot(データ列, データ列2, color='burlywood')
折れ線グラフの色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgray')
リスト自身の長さnの順列を得る	itertools.permutations(iterable, n)
集合が空か調べる	len(aSet) == 0
ヒストグラムの色をレモンシフォンに指定する	plt.hist(データ列, color='lemonchiffon')
データフレームを列を用いてソートして、更新する	df.sort_values(by=column, inplace=True)
集合から別の集合との共通要素を全て取り除く	aSet.symmetric_difference_update(aSet2)
＜オプション＞タン色を使う	color = 'tan'
xとyの商と余りを同時に算出する	divmod(x, y)
文字列を正規表現で区切る	re.split(pattern, s)
データフレームをJSONLファイルにタブ区切りで保存する	df.to_csv(filename, sep='\t')
リストとリストについての散布図に赤い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='r')
＜オプション＞読み込むシートの名前をnamesに設定する	sheet_name = names
データフレームのリスト列の50パーセンタイル	df[aList].median()
リストと配列についての散布図に黒い下三角マーカーを描く	plt.plot(xdata, ydata, marker='v', c='k')
＜オプション＞ロイヤルブルーにグラフの色を変更する	color = 'royalblue'
＜オプション＞ライトスチールブルー色を用いる	color = 'lightsteelblue'
マップから項目名の値か、もしくは要素を得る	aDict.get(key, element)
文字列中の部分文字列の出現回数を数える	s.count(sub)
グラフをスライド用に設定する	sns.set(context='talk')
＜オプション＞コーンズシルクを使う	color = 'cornsilk'
文字列のエポック秒から日付データにする	pd.to_datetime(s, unit='s', utc=True)
ファイルを書き込みモードを使ってオープンする]	open(filepath, mode='w')
データフレームを'A'列によってソートしてNaNを先頭にする	df.sort_values(by='A', na_position='first')
小数点数の整数部	math.modf(x)[1]
赤い三角マーカーを使って散布図を描画する	plt.plot(xdata, ydata, marker='^', c='r')
乱数生成系列をnで固定する	random.seed(n)
ヒストグラムを描画して、色をシアンに指定する	plt.hist(データ列, color='cyan')
文字列TSVファイルからCSVをn番目のカラムをインデックスにして読み込む	pd.read_csv(filename, index_col=n)
データフレームのn行目を削除して、更新する	df.drop(n, axis=0, inplace=True)
折れ線グラフを描画して、色をミディアムターコイズに設定する	plt.plot(データ列, データ列2, color='mediumturquoise')
Pandasで、データフレームのcollを日付データにする	pd.to_datetime(df[col])
データフレームを'A'列によってまとめたグループ	df.groupby('A')
＜オプション＞ブルーバイオレットを用いる	color = 'blueviolet'
データフレームから型リストデータ型の列だけ抽出する	df.select_dtypes(include=typeList)
リストを文字列に変換して一つにする	''.join(map(str, iterable))
行列の転置行列を算出する	aArray.T
方程式として数式の変数の解を計算する	sympy.solve(e, z)
リストをマゼンタでプリントする	print(f'\033[35m{value}\033[0m')
