option: 赤色を使う	color = 'red'
日付時刻データをn秒前に戻す	aDatetime - datetime.timedelta(seconds=n)
データフレームを棒プロットにする	sns.barplot(x='カテゴリ列', y='列名', data=df)
option: マーカーの色をディムグレーにする	markerfacecolor = 'dimgray'
実線を使ってデータ列の移り変わりを描画する	plt.plot(データ列x, データ列y, linestyle='solid')
データフレームのある列の値がxより少ない行を抽出する	df[df['列A'] < x]
option: ダークスレートブルー色を用いる	color = 'darkslateblue'
散布図をパウダーブルー色として描画する	plt.scatter(データ列x, データ列y, color='powderblue')
ある列の値がx以上、y以下の行を抽出する	df[(x <= df['列A']) & (df['列A'] <= y)]
横棒グラフの色を珊瑚にする	plt.barh(データ列x, データ列y, color='coral')
データフレームのカラムのユニークな値	df[col].unique()
モデルの予測値と実測値を散布図に描く	plt.scatter(目的変数, model.predict(説明変数))
ヒストグラムの色をサンディーブラウンに設定する	plt.hist(データ列, color='sandybrown')
散布図のマーカーを四角にする	plt.scatter(データ列x, データ列y, marker='s')
ミディアムスプリンググリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumspringgreen')
乱数シードを初期化する	random.seed()
ロードされたモジュールの一覧	sys.modules
実部と虚部から複素数	complex(x, y)
n個にデータフレームの中の列を等間隔でビニングする	pd.cut(df[col], n)
折れ線グラフをデピンク色として描画する	plt.plot(データ列x, データ列y, color='deeppink')
ミディアムターコイズ色のヒストグラムを描画する	plt.hist(データ列, color='mediumturquoise')
ヒストグラムの色をアイボリーに設定する	plt.hist(データ列, color='ivory')
データフレームの選択したカラムの空文字をドロップする	df[['列A', '列B']].replace('', np.nan).dropna()
リストとリストについての散布図にポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.')
データフレームからカテゴリデータの列を抽出する	df.select_dtypes('object')
綺麗なグラフを描画する準備をする	import seaborn as sns
データ列の折れ線グラフを描画して、ラベル付けする	plt.plot(データ列x, データ列y, label='ラベル')
スノー色のヒストグラムを描画する	plt.hist(データ列, color='snow')
空のロッソ回帰モデルを作る	model = sklearn.linear_model.Rosso(alpha=正則化項)
ダークカーキ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkkhaki')
疑似乱数を生成する	random.random()
色付きの点線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dotted', color='#800080')
棒グラフの色を赤にする	plt.bar(データ列x, データ列y, color='red')
データフレームの散布図をグループ化して横に並べる	sns.relplot(data=df, x='列名', y='列名', hue='カテゴリ列', col='カテゴリ列')
リストの長さを制限する	collections.deque(iterable, maxlen=n)
フォレストグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='forestgreen')
箱ひげ図を描画して、平均線を加える	plt.boxplot(データ列, meanline=True)
散布図をグリーンイエロー色で描画する	plt.scatter(データ列x, データ列y, color='greenyellow')
横棒グラフをミディアムパープル色で描画する	plt.barh(データ列x, データ列y, color='mediumpurple')
タン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='tan')
ヒストグラムを点線で描画する	plt.hist(データ列, linestyle='dotted')
棒グラフをスチールブルー色で描画する	plt.bar(データ列x, データ列y, color='steelblue')
グラフにx=0の破線をつける	plt.axvline(x=0, linestyle='dashed')
ナバホホワイト色のヒストグラムを描画する	plt.hist(データ列, color='navajowhite')
日付データが月曜日か調べる	aDate.weekday() == 0
nがn2より大きい	n > n2
データシリーズの曜日は何日目か見る	ds.dt.dayofweek
データシリーズの標準偏差	ds.std()
整数nが配列のひとつかどうか調べる	n in aArray
ブランチドアーモンド色で線グラフを描画する	plt.plot(データ列x, データ列y, color='blanchedalmond')
線グラフの色をディープスカイブルーに設定する	plt.plot(データ列x, データ列y, color='deepskyblue')
option: UTF8を使用する	encoding = 'utf-8'
文字列が全て小文字か調べる	s.islower()
外れ値に強い線形分類モデルを用意する	model = sklearn.linear_model.HuberClassifier()
欠損値が存在する行を削除し、みる	df.dropna()
データシリーズの空文字を欠損値に変換しドロップする	ds.replace('', np.nan).dropna()
ホットピンク色のヒストグラムを描画する	plt.hist(データ列, color='hotpink')
表データの末尾100行を抽出する	df.tail(100)
リストを縦軸、配列を横軸として、大きさnの散布図を描く	plt.scatter(データ列x, データ列y, s=n)
ダークマゼンタ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkmagenta')
折れ線グラフをイエローグリーン色で描画する	plt.plot(データ列x, データ列y, color='yellowgreen')
散布図の色をゴールデンロッドにする	plt.scatter(データ列x, データ列y, color='goldenrod')
1行から2つの整数値を読む	A, B = map(int, input().split())
折れ線グラフに青いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='b')
データシリーズの中にが含まれるかどうか調べる	ds.isin([value])
option: フォントの色をスレートブルーにする	color = 'slateblue'
ユニコードに対応する文字	chr(unicode)
ヒストグラムの色をミディアムスプリンググリーンに設定する	plt.hist(データ列, color='mediumspringgreen')
リストとリストについて散布図を描画して、マーカーをダイアモンドに設定する	plt.plot(データ列x, データ列y, marker='D')
縦軸の表示範囲を変更する	plt.ylim(最小値, 最大値)
回帰モデルを説明変数と目的変数を用いて学習する	model.fit(説明変数, 目的変数)
ムーア・ペンローズの擬似逆行列を求める	np.linalg.pinv(aArray)
タン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='tan')
mathをインポートする	import math
option: ダークカーキ色を使う	color = 'darkkhaki'
散布図をパールゴールデンロッド色で描画する	plt.scatter(データ列x, データ列y, color='palegoldenrod')
ヒストグラムをアクア色で描画する	plt.hist(データ列, color='aqua')
黄色い棒グラフを描画する	plt.bar(データ列x, データ列y, color='y')
二つの集合の対称差集合を使う	aSet.symmetric_difference(aSet2)
データフレームのあるカラムをインデックスに設定する	df.set_index('列A')
ファイルからストリームをオープンして]fileとする	file = open(filepath)
指定したカラムの欠損値を直前の値で埋める	df['列A'].fillna(method='ffill')
ヒストグラムのラインスタイルを一点鎖線に指定する	plt.hist(データ列, linestyle='dashbot')
ローングリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lawngreen')
データシリーズの中にいくつ欠損値が存在するか調べる	ds.isna().sum()
文字列をバイト列に変換する	bytes(s)
JSONファイルのfをデータに変換する	json.load(fin)
option: エンコーディングを文字列の示す文字コードに変更する	encoding = s
データフレームの次元数	df.shape
折れ線グラフを青い実線で描画する	plt.plot(データ列x, データ列y, linestyle='solid', color='b')
破線でリストの変遷を描画する	plt.plot(データ列x, データ列y, linestyle='dashed')
