文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
実数を百の位で丸める	round(x, -2)
データフレームのカラムの中に文字列があるか調べる	df[col].isin([value])
日付データが月曜日	aDate.weekday() == 0
nをn2で割った結果の切り上げ	(n + n2 - 1) // n2
データフレームの列が正規表現文字列にマッチする行を抽出する	df[df[column].str.match(s)]
星マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='*')
変数について数式の微分を行う	sympy.diff(e, z)
黒い下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v', c='k')
折れ線グラフを描画して、その色をミディアムスプリンググリーンに設定する	plt.plot(データ列, データ列2, color='mediumspringgreen')
文字列をシンボルにして、変数にする	z = sympy.Symbol(s)
散布図に黒いバツマーカーを使う	plt.plot(xdata, ydata, marker='x', c='k')
＜オプション＞サドルブラウンに色を設定する	color = 'saddlebrown'
乱数シードをnで固定する	random.seed(n)
データフレームのリストカラムのどの値が頻出か確認する	df[aList].mode()
現在のタイムスタンプ	int(time.time())
黒い星マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='*', c='k')
データフレームの最後を調べる	df.tail()
散布図に下三角マーカーを使う	plt.plot(xdata, ydata, marker='v')
リストとリストについて散布図を描画して、下三角マーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='v', c=rgb)
ヒストグラムの色をグレーにセットする	plt.hist(データ列, color='grey')
折れ線グラフの右三角印の線幅をnに指定する	plt.plot(データ列, データ列2, marker='>', markeredgewidth=n)
等差数列を配列に変換する	np.arange(開始値, 終端値, 等差)
データフレームを列の値によってグループ化し、、それぞれのグループごとの平均値を求める	df.groupby(column).mean()
両端キューの大きさ	len(deq)
部分文字列が文字列の終了位置より前に含まれない	s.find(sub, 0, end) == -1
オブジェクトはタプルの要素	element in aTuple
散布図を赤い下三角マーカーを用いて描く	plt.plot(xdata, ydata, marker='v', c='r')
リストとリストについての散布図に星マーカーを描画する	plt.plot(xdata, ydata, marker='*')
データフレームの列が文字列で終わるデータを取り出す	df[df[column].str.endswith(s)]
FIXME:カテゴリーデータを出現頻度順にソートする	df['A'].value_counts().sort_index().index
実数のk進対数	math.log(x, k)
分子割る分母	fractions.Fraction(分子, 分母)
データフレームのカラムの曜日の名前	df[col].dt.weekday_name
配列を転置する	aArray.T
TSVファイルを読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
濃いグラフの色をカラーコードに設定する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
線グラフを描画して、色をライトシアンに設定する	plt.plot(データ列, データ列2, color='lightcyan')
イテラブルから複数個、ランダムに選ぶ	random.choices(iterable, k=n)
折れ線グラフを描画してその色をレベッカパープルに変更する	plt.plot(データ列, データ列2, color='rebeccapurple')
整数nの八進文字列	oct(n)[2:]
ヒストグラムを描画して、その色をホットピンクに設定する	plt.hist(データ列, color='hotpink')
＜オプション＞グラフの色をミディアムオーキッドに設定する	color = 'mediumorchid'
既存の配列を元に全要素が初期値の配列	np.full_like(aArray, 初期値)
データフレームのリスト列の相関行列スピアマン相関係数で	df[aList].corr(method='spearman')
データフレームをエクセルファイルファイルでJSONLファイルに保存する	df.to_excel(filename)
リストとリストのカラーコードの濃いグラフを描画する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
オブジェクトが属性を持つかテストする	hasattr(obj, プロパティ名)
nで乱数生成系列を初期化する	random.seed(n)
データフレームの先頭	df.head()
＜オプション＞グリーン色を用いる	color = 'green'
ロージーブラウン色の線グラフを描画する	plt.plot(データ列, データ列2, color='rosybrown')
データフレームの先頭n行	df.head(n)
グレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='gray')
配列の平均値	np.mean(aArray)
折れ線グラフを描画して、その色をバリーウッドに設定する	plt.plot(データ列, データ列2, color='burlywood')
ガンマ関数の値	math.gamma(x)
重なりを見やすくリストとリストについての散布図を暗い色で描画する	plt.plot(xdata, ydata, c='dark', alpha=0.5)
実数を実数で割る	x / y
グラフに凡例を文字列と文字列と入れる	plt.legend([s, s2])
中央値でデータ列を分割する	pd.qcut(ds, 2)
文字列が部分文字列で終わるか調べる	s.endswith(sub)
二変数の最大値	max(x, y)
実数の余弦の逆数	math.acos(x)
データ列の平均値	ds.mean()
カラーコードのバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c=rgb)
リストとリストについての散布図に左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<')
リストの全ての値をクリアにする	aList.clear()
ヒストグラムの色をダークオレンジに設定する	plt.hist(データ列, color='darkorange')
データフレームのカラムの中の欠損値の合計を数える	df[col].isna().sum()
リストを濃い色の柱状グラフを用いて描画する	plt.hist(xdata, color='deep')
データフレームを二つの列によって整列する	df.sort_values(by=['A', 'B'])
＜オプション＞グラフの色を貝殻に設定する	color = 'seashell'
箱ひげ図を二つ並べて描画する	plt.boxplot([データ列, データ列2])
ヒストグラムを描画して、その色をグレーに設定する	plt.hist(データ列, color='grey')
データフレームのリストカラムの欠損値を平均値で埋める	df[aList].fillna(df[aList].mean())
＜オプション＞グラフの色をラベンダーブラッシュに設定する	color = 'lavenderblush'
折れ線グラフを描画して、その色を淡いピンク色に設定する	plt.plot(データ列, データ列2, color='lightpink')
データフレームをJSONLファイルにSJISで保存する	df.to_csv(filename, encoding='shift_jis')
＜オプション＞コロンをセパレータで使う	sep = ':'
＜オプション＞改行コードをWindowsに設定する	newline = '\r\n'
文字列の末尾から部分文字列を見つける	s.rfind(sub)
ヒストグラムの色をサーモンに設定する	plt.hist(データ列, color='salmon')
折れ線グラフに緑色の星マーカーを描画する	plt.plot(データ列, データ列2, marker='*', markerfacecolor='g')
分子n、分母mの有理数を作る	fractions.Fraction(numerator=n, denominator=m)
不揃いな長さののzip	itertools.zip_longest(iterable, iterable2)
＜オプション＞色をマルーンに設定する	color = 'maroon'
ダークマゼンタ色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkmagenta')
データフレームのカラムの未入力値を平均に変更する	df[col].fillna(df[col].mean())
線グラフの色をダークターコイズに設定する	plt.plot(データ列, データ列2, color='darkturquoise')
データフレームから破壊的に重複した行を削除する	df.drop_duplicates(inplace=True)
イテラブルの集合	set(iterable)
空列	[]
＜オプション＞データ型を指定する	dtype = np.uint8
プラットホームがマック	sys.platform.startswith('darwin')
